ID,Naam,Level,Value,Parent ID,Pad,Hoofdcategorie,Subcategorie,Sub-subcategorie
antiek-en-kunst,Antiek en Kunst,1,1,,Antiek en Kunst,Antiek en Kunst,,
antiek-en-kunst--antiek---eetgerei,Antiek | Eetgerei,2,1,antiek-en-kunst,Antiek en Kunst > Antiek | Eetgerei,Antiek en Kunst,Antiek | Eetgerei,
antiek-en-kunst--antiek---eetgerei--bestek,Bestek,3,2,antiek-en-kunst--antiek---eetgerei,Antiek en Kunst > Antiek | Eetgerei > Bestek,Antiek en Kunst,Antiek | Eetgerei,Bestek
antiek-en-kunst--antiek---eetgerei--schalen,Schalen,3,1103,antiek-en-kunst--antiek---eetgerei,Antiek en Kunst > Antiek | Eetgerei > Schalen,Antiek en Kunst,Antiek | Eetgerei,Schalen
antiek-en-kunst--antiek---eetgerei--servies-compleet,Servies compleet,3,1843,antiek-en-kunst--antiek---eetgerei,Antiek en Kunst > Antiek | Eetgerei > Servies compleet,Antiek en Kunst,Antiek | Eetgerei,Servies compleet
antiek-en-kunst--antiek---eetgerei--servies-los,Servies los,3,12,antiek-en-kunst--antiek---eetgerei,Antiek en Kunst > Antiek | Eetgerei > Servies los,Antiek en Kunst,Antiek | Eetgerei,Servies los
antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek | Gebruiksvoorwerpen,2,2,antiek-en-kunst,Antiek en Kunst > Antiek | Gebruiksvoorwerpen,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,
antiek-en-kunst--antiek---gebruiksvoorwerpen--boeken-en-bijbels,Boeken en Bijbels,3,3,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Boeken en Bijbels,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Boeken en Bijbels
antiek-en-kunst--antiek---gebruiksvoorwerpen--emaille,Emaille,3,1100,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Emaille,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Emaille
antiek-en-kunst--antiek---gebruiksvoorwerpen--gereedschap-en-instrumenten,Gereedschap en Instrumenten,3,1501,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Gereedschap en Instrumenten,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Gereedschap en Instrumenten
antiek-en-kunst--antiek---gebruiksvoorwerpen--glas-en-kristal,Glas en Kristal,3,1648,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Glas en Kristal,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Glas en Kristal
antiek-en-kunst--antiek---gebruiksvoorwerpen--goud-en-zilver,Goud en Zilver,3,2614,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Goud en Zilver,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Goud en Zilver
antiek-en-kunst--antiek---gebruiksvoorwerpen--kandelaars,Kandelaars,3,2661,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Kandelaars,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Kandelaars
antiek-en-kunst--antiek---gebruiksvoorwerpen--kantoor-en-zakelijk,Kantoor en Zakelijk,3,1841,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Kantoor en Zakelijk,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Kantoor en Zakelijk
antiek-en-kunst--antiek---gebruiksvoorwerpen--keramiek-en-aardewerk,Keramiek en Aardewerk,3,1502,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Keramiek en Aardewerk,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Keramiek en Aardewerk
antiek-en-kunst--antiek---gebruiksvoorwerpen--keukenbenodigdheden,Keukenbenodigdheden,3,1842,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Keukenbenodigdheden,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Keukenbenodigdheden
antiek-en-kunst--antiek---gebruiksvoorwerpen--kleden-en-textiel,Kleden en Textiel,3,2118,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Kleden en Textiel,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Kleden en Textiel
antiek-en-kunst--antiek---gebruiksvoorwerpen--kleding-en-accessoires,Kleding en Accessoires,3,1503,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Kleding en Accessoires,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Kleding en Accessoires
antiek-en-kunst--antiek---gebruiksvoorwerpen--klokken,Klokken,3,6,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Klokken,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Klokken
antiek-en-kunst--antiek---gebruiksvoorwerpen--koper-en-brons,Koper en Brons,3,1647,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Koper en Brons,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Koper en Brons
antiek-en-kunst--antiek---gebruiksvoorwerpen--lampen,Lampen,3,7,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Lampen,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Lampen
antiek-en-kunst--antiek---gebruiksvoorwerpen--naaimachines,Naaimachines,3,1101,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Naaimachines,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Naaimachines
antiek-en-kunst--antiek---gebruiksvoorwerpen--porselein,Porselein,3,10,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Porselein,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Porselein
antiek-en-kunst--antiek---gebruiksvoorwerpen--religie,Religie,3,1102,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Religie,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Religie
antiek-en-kunst--antiek---gebruiksvoorwerpen--schoolplaten,Schoolplaten,3,2662,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Schoolplaten,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Schoolplaten
antiek-en-kunst--antiek---gebruiksvoorwerpen--speelgoed,Speelgoed,3,1507,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Speelgoed,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Speelgoed
antiek-en-kunst--antiek---gebruiksvoorwerpen--spiegels,Spiegels,3,2663,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Spiegels,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Spiegels
antiek-en-kunst--antiek---gebruiksvoorwerpen--tin,Tin,3,2664,antiek-en-kunst--antiek---gebruiksvoorwerpen,Antiek en Kunst > Antiek | Gebruiksvoorwerpen > Tin,Antiek en Kunst,Antiek | Gebruiksvoorwerpen,Tin
